ts,datetime,symbol,long_exchange,short_exchange,direction,mode,funding_hl,funding_aster,spread_bps,notional_usd,expected_funding_bps,expected_net_bps,expected_net_usd,estimated_cost_bps,basis_bps,liquidity_score,stability_score,risk_score,horizon_hours,decision,reason
1778862153,2026-05-15T16:22:33.350713+00:00,SOL,,hyperliquid,short,single,,,,25,0.015625,-7.875,-0.0196875,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778862153,2026-05-15T16:22:33.350713+00:00,HYPE,,hyperliquid,short,single,,,,25,0.00419125,-7.96647,-0.019916175,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778862214,2026-05-15T16:23:33.957497+00:00,BTC,,hyperliquid,short,single,,,,25,0.014474125,-7.884207,-0.0197105175,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778862214,2026-05-15T16:23:33.957497+00:00,ETH,hyperliquid,,long,single,,,,25,-0.00196625,-7.98427,-0.019960675,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778862214,2026-05-15T16:23:33.957497+00:00,SOL,,hyperliquid,short,single,,,,25,0.015625,-7.875,-0.0196875,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778862214,2026-05-15T16:23:33.957497+00:00,HYPE,,hyperliquid,short,single,,,,25,0.004727,-7.962184,-0.01990546,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778862275,2026-05-15T16:24:34.775246+00:00,BTC,,hyperliquid,short,single,,,,25,0.014622625,-7.883019,-0.0197075475,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778862275,2026-05-15T16:24:34.775246+00:00,ETH,hyperliquid,,long,single,,,,25,-0.00142175,-7.988626,-0.019971565,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778862275,2026-05-15T16:24:34.775246+00:00,SOL,,hyperliquid,short,single,,,,25,0.015625,-7.875,-0.0196875,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778862275,2026-05-15T16:24:34.775246+00:00,HYPE,,hyperliquid,short,single,,,,25,0.00553225,-7.955742,-0.019889355,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778862336,2026-05-15T16:25:35.510546+00:00,BTC,,hyperliquid,short,single,,,,25,0.0143365,-7.885308,-0.01971327,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778862336,2026-05-15T16:25:35.510546+00:00,ETH,hyperliquid,,long,single,,,,25,-0.001271375,-7.989829,-0.0199745725,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778862336,2026-05-15T16:25:35.510546+00:00,SOL,,hyperliquid,short,single,,,,25,0.015625,-7.875,-0.0196875,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778862336,2026-05-15T16:25:35.510546+00:00,HYPE,,hyperliquid,short,single,,,,25,0.007441125,-7.940471,-0.0198511775,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778862396,2026-05-15T16:26:36.285853+00:00,BTC,,hyperliquid,short,single,,,,25,0.014110375,-7.887117,-0.0197177925,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778862396,2026-05-15T16:26:36.285853+00:00,ETH,hyperliquid,,long,single,,,,25,-0.000953875,-7.992369,-0.0199809225,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778862396,2026-05-15T16:26:36.285853+00:00,SOL,,hyperliquid,short,single,,,,25,0.015625,-7.875,-0.0196875,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778862396,2026-05-15T16:26:36.285853+00:00,HYPE,,hyperliquid,short,single,,,,25,0.009145125,-7.926839,-0.0198170975,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778862457,2026-05-15T16:27:37.037905+00:00,BTC,,hyperliquid,short,single,,,,25,0.013662375,-7.890701,-0.0197267525,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778862457,2026-05-15T16:27:37.037905+00:00,ETH,hyperliquid,,long,single,,,,25,-0.000590375,-7.995277,-0.0199881925,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
