ts,datetime,exchange,symbol,funding_rate,funding_rate_bps,next_funding_time,mark_price,oracle_price,index_price,open_interest
1778884907,2026-05-15T22:41:46.564158+00:00,hyperliquid,SOL,-8.90125e-07,-0.00890125,,,,,
1778884907,2026-05-15T22:41:46.564158+00:00,hyperliquid,HYPE,1.5625e-06,0.015625,,,,,
1778884911,2026-05-15T22:41:51.072118+00:00,hyperliquid,BTC,-1.6944375e-06,-0.016944375,,,,,
1778884911,2026-05-15T22:41:51.072118+00:00,hyperliquid,ETH,3.13675e-07,0.00313675,,,,,
1778884911,2026-05-15T22:41:51.072118+00:00,hyperliquid,SOL,-8.90925e-07,-0.00890925,,,,,
1778884911,2026-05-15T22:41:51.072118+00:00,hyperliquid,HYPE,1.5625e-06,0.015625,,,,,
1778884967,2026-05-15T22:42:47.270420+00:00,hyperliquid,BTC,-1.6711875e-06,-0.016711875,,,,,
1778884967,2026-05-15T22:42:47.270420+00:00,hyperliquid,ETH,3.203e-07,0.003203,,,,,
1778884967,2026-05-15T22:42:47.270420+00:00,hyperliquid,SOL,-8.88975e-07,-0.00888975,,,,,
1778884967,2026-05-15T22:42:47.270420+00:00,hyperliquid,HYPE,1.5625e-06,0.015625,,,,,
1778884972,2026-05-15T22:42:51.774897+00:00,hyperliquid,BTC,-1.6685e-06,-0.016685,,,,,
1778884972,2026-05-15T22:42:51.774897+00:00,hyperliquid,ETH,3.184625e-07,0.003184625,,,,,
1778884972,2026-05-15T22:42:51.774897+00:00,hyperliquid,SOL,-8.882625e-07,-0.008882625,,,,,
1778884972,2026-05-15T22:42:51.774897+00:00,hyperliquid,HYPE,1.5625e-06,0.015625,,,,,
1778885028,2026-05-15T22:43:47.566847+00:00,hyperliquid,BTC,-1.6419875e-06,-0.016419875,,,,,
1778885028,2026-05-15T22:43:47.566847+00:00,hyperliquid,ETH,3.05475e-07,0.00305475,,,,,
1778885028,2026-05-15T22:43:47.566847+00:00,hyperliquid,SOL,-8.798125e-07,-0.008798125,,,,,
1778885028,2026-05-15T22:43:47.566847+00:00,hyperliquid,HYPE,1.5625e-06,0.015625,,,,,
1778885032,2026-05-15T22:43:52.483970+00:00,hyperliquid,BTC,-1.6393625e-06,-0.016393625,,,,,
1778885032,2026-05-15T22:43:52.483970+00:00,hyperliquid,ETH,3.063875e-07,0.003063875,,,,,
1778885032,2026-05-15T22:43:52.483970+00:00,hyperliquid,SOL,-8.80025e-07,-0.00880025,,,,,
1778885032,2026-05-15T22:43:52.483970+00:00,hyperliquid,HYPE,1.5625e-06,0.015625,,,,,
1778885088,2026-05-15T22:44:48.051369+00:00,hyperliquid,BTC,-1.618875e-06,-0.01618875,,,,,
1778885088,2026-05-15T22:44:48.051369+00:00,hyperliquid,ETH,3.14875e-07,0.00314875,,,,,
1778885088,2026-05-15T22:44:48.051369+00:00,hyperliquid,SOL,-8.799875e-07,-0.008799875,,,,,
1778885088,2026-05-15T22:44:48.051369+00:00,hyperliquid,HYPE,1.5625e-06,0.015625,,,,,
1778885093,2026-05-15T22:44:52.762002+00:00,hyperliquid,BTC,-1.6178625e-06,-0.016178625,,,,,
1778885093,2026-05-15T22:44:52.762002+00:00,hyperliquid,ETH,3.157375e-07,0.003157375,,,,,
1778885093,2026-05-15T22:44:52.762002+00:00,hyperliquid,SOL,-8.82725e-07,-0.00882725,,,,,
1778885093,2026-05-15T22:44:52.762002+00:00,hyperliquid,HYPE,1.5625e-06,0.015625,,,,,
1778885149,2026-05-15T22:45:48.519513+00:00,hyperliquid,BTC,-1.5901125e-06,-0.015901125,,,,,
1778885149,2026-05-15T22:45:48.519513+00:00,hyperliquid,ETH,3.427375e-07,0.003427375,,,,,
1778885149,2026-05-15T22:45:48.519513+00:00,hyperliquid,SOL,-8.886e-07,-0.008886,,,,,
1778885149,2026-05-15T22:45:48.519513+00:00,hyperliquid,HYPE,1.5625e-06,0.015625,,,,,
1778885153,2026-05-15T22:45:53.462414+00:00,hyperliquid,BTC,-1.5909625e-06,-0.015909625,,,,,
1778885153,2026-05-15T22:45:53.462414+00:00,hyperliquid,ETH,3.4545e-07,0.0034545,,,,,
1778885153,2026-05-15T22:45:53.462414+00:00,hyperliquid,SOL,-8.888125e-07,-0.008888125,,,,,
1778885153,2026-05-15T22:45:53.462414+00:00,hyperliquid,HYPE,1.5625e-06,0.015625,,,,,
1778885209,2026-05-15T22:46:49.208622+00:00,hyperliquid,BTC,-1.5934625e-06,-0.015934625,,,,,
1778885209,2026-05-15T22:46:49.208622+00:00,hyperliquid,ETH,3.468125e-07,0.003468125,,,,,
1778885209,2026-05-15T22:46:49.208622+00:00,hyperliquid,SOL,-8.919e-07,-0.008919,,,,,
1778885209,2026-05-15T22:46:49.208622+00:00,hyperliquid,HYPE,1.5625e-06,0.015625,,,,,
1778885214,2026-05-15T22:46:54.161218+00:00,hyperliquid,BTC,-1.5921875e-06,-0.015921875,,,,,
