ts,equity,open_pos,quotes,fills_min,pnl_min,pnl_hour,pnl_day,win_rate,avg_hold_s,wins,losses,stops,tps,max_holds,reconnections,wavelet_alerts,pick_rate
2026-05-10T20:59:10,4000.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
2026-05-10T20:59:16,6999.47,2,2,0,0.0,0.339249,-0.528079,0.1698,399.5,9,44,0,2,51,0,0,0.4175
2026-05-10T20:59:43,4000.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
2026-05-10T21:00:10,4000.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
2026-05-10T21:00:18,6999.47,2,2,0,0.0,0.339249,-0.528079,0.1698,399.5,9,44,0,2,51,0,0,0.4175
2026-05-10T21:00:43,4000.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
2026-05-10T21:01:10,4000.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
2026-05-10T21:01:19,6999.47,2,2,0,0.0,0.339249,-0.528079,0.1698,399.5,9,44,0,2,51,0,0,0.4175
2026-05-10T21:01:43,4000.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
2026-05-10T21:02:10,4000.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
2026-05-10T21:02:21,6999.41,0,0,0,0.0,0.280956,-0.586372,0.1667,423.2,9,45,0,2,52,0,0,0.4213
2026-05-10T21:02:43,4000.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
2026-05-10T21:03:10,4000.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
2026-05-10T21:03:22,6999.41,0,0,0,0.0,0.280956,-0.586372,0.1667,423.2,9,45,0,2,52,0,0,0.4213
2026-05-10T21:03:43,4000.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
2026-05-10T21:04:10,4000.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
2026-05-10T21:04:22,6999.41,0,0,0,0.0,0.280956,-0.586372,0.1667,423.2,9,45,0,2,52,0,0,0.4213
2026-05-10T21:04:43,4000.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
2026-05-10T21:05:10,4000.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
2026-05-10T21:05:24,6999.41,0,0,0,0.0,0.280956,-0.586372,0.1667,423.2,9,45,0,2,52,0,0,0.4213
